"Player","Born","Nation","Pos","Squad","Comp","Age","MP","Min","Gls","Ast","Sh","SoT","CrdY","CrdR","Player_clean","tm_name","match_name","name","club","league","position","sub_position","date_of_birth","nationality","market_value_in_eur"
"Rav van den Berg",2004,"nl NED","DF","Köln","de Bundesliga",21,14,1131,0,1,1,0,0,1,"Rav van den Berg",NA,"Rav van den Berg","Rav van den Berg","1.FC Köln","bundesliga","Defender","Centre-Back",2004-07-07,"Netherlands",7000000
"Rayan",2006,"br BRA","MF","Bournemouth","eng Premier League",18,15,1111,5,2,28,8,1,0,"Rayan",NA,"Rayan","Rayan","AFC Bournemouth","premier-league","Attack","Right Winger",2006-08-03,"Brazil",60000000
"Rayan Aït-Nouri",2001,"dz ALG","DF","Manchester City","eng Premier League",24,17,974,0,2,10,2,2,0,"Rayan Ait-Nouri",NA,"Rayan Ait-Nouri","Rayan Aït-Nouri","Manchester City","premier-league","Defender","Left-Back",2001-06-06,"Algeria",40000000
"Rayan Cherki",2003,"fr FRA","MF","Manchester City","eng Premier League",21,33,1786,4,12,55,13,1,0,"Rayan Cherki",NA,"Rayan Cherki","Rayan Cherki","Manchester City","premier-league","Midfield","Attacking Midfield",2003-08-17,"France",90000000
"Rayan Fofana",2006,"fr FRA","FW,MF","Lens","fr Ligue 1",19,25,798,5,0,36,12,0,0,"Rayan Fofana",NA,"Rayan Fofana","Rayan Fofana","RC Lens","ligue-1","Attack","Centre-Forward",2006-02-12,"France",8000000
"Rayan Philippe",2000,"fr FRA","FW,MF","Hamburger SV","de Bundesliga",24,28,1285,5,0,39,16,2,0,"Rayan Philippe",NA,"Rayan Philippe","Rayan Philippe","Hamburger SV","bundesliga","Attack","Right Winger",2000-10-23,"France",4000000
"Rayane Belaid",2005,"es ESP","MF,FW","Atlético Madrid","es La Liga",20,2,132,0,0,4,0,0,0,"Rayane Belaid",NA,"Rayane Belaid","Rayane Belaid","Atlético de Madrid","laliga","Midfield","Attacking Midfield",2005-02-11,"Spain",600000
"Razvan Sava",2002,"ro ROU","GK","Udinese","it Serie A",23,7,620,0,0,0,0,1,0,"Razvan Sava",NA,"Razvan Sava","Răzvan Sava","Udinese Calcio","serie-a","Goalkeeper","Goalkeeper",2002-06-21,"Romania",2500000
"Raúl Albiol",1985,"es ESP","DF","Pisa","it Serie A",39,8,500,0,1,1,0,1,0,"Raul Albiol",NA,"Raul Albiol","Raúl Albiol","Pisa Sporting Club","serie-a","Defender","Centre-Back",1985-09-04,"Spain",700000
"Raúl Asencio",2003,"es ESP","DF","Real Madrid","es La Liga",22,23,1708,2,0,14,4,4,0,"Raul Asencio",NA,"Raul Asencio","Raúl Asencio","Real Madrid","laliga","Defender","Centre-Back",2003-02-13,"Spain",20000000
