"Player","Born","Nation","Pos","Squad","Comp","Age","MP","Min","Gls","Ast","Sh","SoT","CrdY","CrdR","Player_clean","tm_name","match_name","name","club","league","position","sub_position","date_of_birth","nationality","market_value_in_eur"
"Pablo Martínez",1998,"es ESP","MF","Levante","es La Liga",27,27,1857,1,5,28,4,3,0,"Pablo Martinez",NA,"Pablo Martinez","Pablo Martínez","Levante UD","laliga","Midfield","Central Midfield",1998-02-22,"Spain",3000000
"Pablo Marín",2003,"es ESP","MF","Real Sociedad","es La Liga",22,34,1502,0,1,13,4,2,0,"Pablo Marin",NA,"Pablo Marin","Pablo Marín","Real Sociedad","laliga","Midfield","Attacking Midfield",2003-07-03,"Spain",7000000
"Pablo Pagis",2002,"fr FRA","MF,FW","Lorient","fr Ligue 1",22,28,1756,10,5,59,19,1,0,"Pablo Pagis",NA,"Pablo Pagis","Pablo Pagis","FC Lorient","ligue-1","Attack","Left Winger",2002-12-29,"France",15000000
"Pablo Rosario",1997,"do DOM","DF,MF","Nice","fr Ligue 1",28,1,28,0,0,2,1,0,0,"Pablo Rosario",NA,"Pablo Rosario","Pablo Rosario","OGC Nice","ligue-1","Midfield","Defensive Midfield",1997-01-07,"Dominican Republic",8000000
"Pablo Torre",2003,"es ESP","MF,FW","Mallorca","es La Liga",22,35,1599,4,4,25,12,4,0,"Pablo Torre",NA,"Pablo Torre","Pablo Torre","RCD Mallorca","laliga","Midfield","Attacking Midfield",2003-04-03,"Spain",5000000
"Paco Cortés",2007,"es ESP","MF,FW","Levante","es La Liga",17,12,472,0,0,12,4,2,0,"Paco Cortes",NA,"Paco Cortes","Paco Cortés","Levante UD","laliga","Attack","Left Winger",2007-08-11,"Spain",1500000
"Panos Katseris",2001,"gr GRE","MF,DF","Lorient","fr Ligue 1",24,16,747,1,2,7,4,3,0,"Panos Katseris",NA,"Panos Katseris","Panos Katseris","FC Lorient","ligue-1","Midfield","Right Midfield",2001-07-05,"Greece",2000000
"Pape Demba Diop",2003,"sn SEN","MF","Toulouse","fr Ligue 1",21,16,1271,1,2,29,11,2,0,"Pape Demba Diop",NA,"Pape Demba Diop","Pape Demba Diop","FC Toulouse","ligue-1","Midfield","Central Midfield",2003-09-04,"Senegal",9000000
"Pape Gueye",1999,"sn SEN","MF","Villarreal","es La Liga",26,30,2131,5,2,47,13,8,0,"Pape Gueye",NA,"Pape Gueye","Pape Gueye","Villarreal CF","laliga","Midfield","Central Midfield",1999-01-24,"Senegal",40000000
"Pape Matar Sarr",2002,"sn SEN","MF","Tottenham Hotspur","eng Premier League",22,26,1397,2,4,17,6,3,0,"Pape Matar Sarr",NA,"Pape Matar Sarr","Pape Matar Sarr","Tottenham Hotspur","premier-league","Midfield","Central Midfield",2002-09-14,"Senegal",30000000
"Paris Brunner",2006,"de GER","FW","Monaco","fr Ligue 1",19,7,132,0,0,4,1,1,0,"Paris Brunner",NA,"Paris Brunner","Paris Brunner","AS Monaco","ligue-1","Attack","Centre-Forward",2006-02-15,"Germany",1500000
"Pascal Groß",1991,"de GER","MF","Brighton","eng Premier League",34,30,2249,1,4,26,10,2,0,"Pascal Gross",NA,"Pascal Gross","Pascal Groß","Borussia Dortmund","bundesliga","Midfield","Central Midfield",1991-06-15,"Germany",2500000
"Pascal Stenzel",1996,"de GER","MF","Stuttgart","de Bundesliga",29,2,106,0,0,3,1,2,0,"Pascal Stenzel",NA,"Pascal Stenzel","Pascal Stenzel","VfB Stuttgart","bundesliga","Defender","Right-Back",1996-03-20,"Germany",1200000
"Pascal Struijk",1999,"nl NED","DF","Leeds United","eng Premier League",25,34,2936,0,1,31,5,5,0,"Pascal Struijk",NA,"Pascal Struijk","Pascal Struijk","Leeds United","premier-league","Defender","Centre-Back",1999-08-11,"Netherlands",22000000
"Pasquale Mazzocchi",1995,"it ITA","MF","Napoli","it Serie A",30,16,310,0,1,2,1,0,1,"Pasquale Mazzocchi",NA,"Pasquale Mazzocchi","Pasquale Mazzocchi","SSC Napoli","serie-a","Defender","Right-Back",1995-07-27,"Italy",1500000
"Pathé Ciss",1994,"sn SEN","MF,DF","Rayo Vallecano","es La Liga",31,29,1998,2,1,20,8,9,2,"Pathe Ciss",NA,"Pathe Ciss","Pathé Ciss","Rayo Vallecano","laliga","Midfield","Central Midfield",1994-03-16,"Senegal",1800000
"Pathé Mboup",2003,"sn SEN","MF","Brest","fr Ligue 1",21,28,1054,1,0,23,10,6,0,"Pathe Mboup",NA,"Pathe Mboup","Pathé Mboup","Stade Brestois 29","ligue-1","Attack","Left Winger",2003-10-19,"Senegal",2500000
"Patric",1993,"es ESP","MF,DF","Lazio","it Serie A",32,14,667,0,0,5,0,2,0,"Patric",NA,"Patric","Patric","Società Sportiva Lazio S.p.A.","serie-a","Defender","Centre-Back",1993-04-17,"Spain",1500000
"Patrice Čović",2007,"hr CRO","MF","Werder Bremen","de Bundesliga",18,15,351,1,0,5,2,1,0,"Patrice Covic",NA,"Patrice Covic","Patrice Covic","SV Werder Bremen","bundesliga","Midfield","Attacking Midfield",2007-06-25,"Croatia",4000000
"Patrick Cutrone",1998,"it ITA","FW","Parma","it Serie A",27,15,888,1,0,25,7,0,0,"Patrick Cutrone",NA,"Patrick Cutrone","Patrick Cutrone","Como 1907","serie-a","Attack","Centre-Forward",1998-01-03,"Italy",5000000
"Patrick Dorgu",2004,"dk DEN","MF","Manchester Utd","eng Premier League",20,26,1449,4,4,25,11,5,0,"Patrick Dorgu",NA,"Patrick Dorgu","Patrick Dorgu","Manchester United","premier-league","Attack","Left Winger",2004-10-26,"Denmark",35000000
"Patrick Mainka",1994,"de GER","DF","Heidenheim","de Bundesliga",30,34,3060,2,2,37,9,1,0,"Patrick Mainka",NA,"Patrick Mainka","Patrick Mainka","1. Fußballclub Heidenheim 1846","bundesliga","Defender","Centre-Back",1994-11-06,"Germany",2500000
"Patrick Osterhage",2000,"de GER","MF","Freiburg","de Bundesliga",25,20,1189,1,0,7,2,4,0,"Patrick Osterhage",NA,"Patrick Osterhage","Patrick Osterhage","SC Freiburg","bundesliga","Midfield","Defensive Midfield",2000-02-01,"Germany",12000000
"Patrick Roberts",1997,"eng ENG","FW,MF","Sunderland","eng Premier League",28,1,28,0,0,1,0,0,0,"Patrick Roberts",NA,"Patrick Roberts","Patrick Roberts","Sunderland AFC","premier-league","Attack","Right Winger",1997-02-05,"England",3200000
"Patrick Wimmer",2001,"at AUT","MF","Wolfsburg","de Bundesliga",24,25,1621,4,3,24,8,4,0,"Patrick Wimmer",NA,"Patrick Wimmer","Patrick Wimmer","VfL Wolfsburg","bundesliga","Attack","Right Winger",2001-05-30,"Austria",12000000
"Patrik Carlgren",1992,"se SWE","GK","Nantes","fr Ligue 1",33,3,182,0,0,0,0,0,0,"Patrik Carlgren",NA,"Patrik Carlgren","Patrik Carlgren","FC Nantes","ligue-1","Goalkeeper","Goalkeeper",1992-01-08,"Sweden",400000
"Patrik Schick",1996,"cz CZE","FW","Leverkusen","de Bundesliga",29,28,1988,16,3,72,34,2,0,"Patrik Schick",NA,"Patrik Schick","Patrik Schick","Bayer 04 Leverkusen","bundesliga","Attack","Centre-Forward",1996-01-24,"Czech Republic",18000000
"Patrizio Masini",2001,"it ITA","MF","Genoa","it Serie A",24,28,1413,0,1,18,5,5,0,"Patrizio Masini",NA,"Patrizio Masini","Patrizio Masini","Genoa CFC","serie-a","Midfield","Central Midfield",2001-01-27,"Italy",4200000
"Pau Cabanes",2005,"es ESP","FW","Villarreal","es La Liga",20,1,16,0,0,0,0,0,0,"Pau Cabanes",NA,"Pau Cabanes","Pau Cabanes","Villarreal CF","laliga","Attack","Centre-Forward",2005-02-17,"Spain",800000
"Pau Cubarsí",2007,"es ESP","DF","Barcelona","es La Liga",18,31,2703,1,0,10,2,3,0,"Pau Cubarsi",NA,"Pau Cubarsi","Pau Cubarsí","FC Barcelona","laliga","Defender","Centre-Back",2007-01-22,"Spain",80000000
"Pau López",1994,"es ESP","GK","Real Betis","es La Liga",30,9,810,0,0,0,0,1,0,"Pau Lopez",NA,"Pau Lopez","Pau López","Real Betis Balompié","laliga","Goalkeeper","Goalkeeper",1994-12-13,"Spain",2500000
"Pau Navarro",2005,"es ESP","DF","Villarreal","es La Liga",20,23,1921,0,0,2,2,4,0,"Pau Navarro",NA,"Pau Navarro","Pau Navarro","Villarreal CF","laliga","Defender","Centre-Back",2005-04-25,"Spain",15000000
"Pau Torres",1997,"es ESP","DF","Aston Villa","eng Premier League",28,21,1676,0,0,9,1,1,0,"Pau Torres",NA,"Pau Torres","Pau Torres","Aston Villa","premier-league","Defender","Centre-Back",1997-01-16,"Spain",20000000
"Paul Argney",2006,"fr FRA","GK","Le Havre","fr Ligue 1",19,1,90,0,0,0,0,0,0,"Paul Argney",NA,"Paul Argney","Paul Argney","Le Havre AC","ligue-1","Goalkeeper","Goalkeeper",2006-05-23,"France",200000
"Paul Mendy",2007,"sn SEN","FW","Cagliari","it Serie A",18,9,335,2,0,15,3,1,0,"Paul Mendy",NA,"Paul Mendy","Paul Mendy","Cagliari Calcio","serie-a","Attack","Centre-Forward",2007-01-13,"Senegal",7000000
"Paul Nebel",2002,"de GER","MF","Mainz 05","de Bundesliga",22,30,2073,5,2,32,8,2,2,"Paul Nebel",NA,"Paul Nebel","Paul Nebel","1.FSV Mainz 05","bundesliga","Midfield","Attacking Midfield",2002-10-10,"Germany",18000000
"Paul Pogba",1993,"fr FRA","MF","Monaco","fr Ligue 1",32,6,119,0,0,2,0,0,0,"Paul Pogba",NA,"Paul Pogba","Paul Pogba","AS Monaco","ligue-1","Midfield","Central Midfield",1993-03-15,"France",2500000
"Paulo Dybala",1993,"ar ARG","MF,FW","Roma","it Serie A",31,22,1354,2,6,43,18,0,0,"Paulo Dybala",NA,"Paulo Dybala","Paulo Dybala","Associazione Sportiva Roma","serie-a","Attack","Second Striker",1993-11-15,"Argentina",5000000
"Paulo Gazzaniga",1992,"ar ARG","GK","Girona","es La Liga",33,35,3102,0,0,0,0,4,1,"Paulo Gazzaniga",NA,"Paulo Gazzaniga","Paulo Gazzaniga","Girona FC","laliga","Goalkeeper","Goalkeeper",1992-01-02,"Argentina",1800000
"Pedri",2002,"es ESP","MF","Barcelona","es La Liga",22,29,2104,2,9,21,10,2,1,"Pedri",NA,"Pedri","Pedri","FC Barcelona","laliga","Midfield","Central Midfield",2002-11-25,"Spain",150000000
"Pedro",1987,"es ESP","FW,MF","Lazio","it Serie A",38,29,982,5,2,22,11,4,0,"Pedro",NA,"Pedro","Pedro","Società Sportiva Lazio S.p.A.","serie-a","Attack","Right Winger",1987-07-28,"Spain",1000000
"Pedro Bigas",1990,"es ESP","DF","Elche","es La Liga",34,28,2063,1,3,10,3,5,1,"Pedro Bigas",NA,"Pedro Bigas","Pedro Bigas","Elche CF","laliga","Defender","Centre-Back",1990-05-15,"Spain",300000
"Pedro Díaz",1998,"es ESP","MF","Rayo Vallecano","es La Liga",27,34,1870,0,1,44,6,2,0,"Pedro Diaz",NA,"Pedro Diaz","Pedro Díaz","Rayo Vallecano","laliga","Midfield","Central Midfield",1998-06-05,"Spain",3000000
"Pedro Felipe",2004,"br BRA","DF","Sassuolo","it Serie A",21,3,129,0,1,0,0,0,0,"Pedro Felipe",NA,"Pedro Felipe","Pedro Felipe","Juventus FC","serie-a","Defender","Centre-Back",2004-05-23,"Brazil",1500000
"Pedro Neto",2000,"pt POR","MF,FW","Chelsea","eng Premier League",25,34,2631,5,6,46,13,4,1,"Pedro Neto",NA,"Pedro Neto","Pedro Neto","Chelsea FC","premier-league","Attack","Right Winger",2000-03-09,"Portugal",60000000
"Pedro Porro",1999,"es ESP","DF","Tottenham Hotspur","eng Premier League",25,34,2796,1,2,32,8,10,0,"Pedro Porro",NA,"Pedro Porro","Pedro Porro","Tottenham Hotspur","premier-league","Defender","Right-Back",1999-09-13,"Spain",35000000
"Pep Chavarría",1998,"es ESP","DF","Rayo Vallecano","es La Liga",27,33,2682,1,2,18,3,6,1,"Pep Chavarria",NA,"Pep Chavarria","Pep Chavarría","Rayo Vallecano","laliga","Defender","Left-Back",1998-04-10,"Spain",10000000
"Pere Milla",1992,"es ESP","MF,FW","Espanyol","es La Liga",32,33,1973,7,1,59,21,6,1,"Pere Milla",NA,"Pere Milla","Pere Milla","RCD Espanyol Barcelona","laliga","Attack","Left Winger",1992-09-23,"Spain",1000000
"Pervis Estupiñán",1998,"ec ECU","MF","Milan","it Serie A",27,19,1034,1,1,9,1,5,1,"Pervis Estupinan",NA,"Pervis Estupinan","Pervis Estupiñán","AC Milan","serie-a","Defender","Left-Back",1998-01-21,"Ecuador",12000000
"Petar Ratkov",2003,"rs SRB","FW","Lazio","it Serie A",21,8,233,0,0,6,1,0,0,"Petar Ratkov",NA,"Petar Ratkov","Petar Ratkov","Società Sportiva Lazio S.p.A.","serie-a","Attack","Centre-Forward",2003-08-18,"Serbia",9000000
"Petar Sucic",2003,"hr CRO","MF","Inter","it Serie A",21,34,1765,2,2,22,6,5,0,"Petar Sucic",NA,"Petar Sucic","Petar Sučić","Inter Milan","serie-a","Midfield","Central Midfield",2003-10-25,"Croatia",40000000
"Pharell Hensel",2007,"de GER","MF","Wolfsburg","de Bundesliga",18,5,69,0,0,1,0,0,0,"Pharell Hensel",NA,"Pharell Hensel","Pharell Hensel","VfL Wolfsburg","bundesliga","Midfield","Central Midfield",2007-06-08,"Germany",3000000
"Phil Foden",2000,"eng ENG","MF","Manchester City","eng Premier League",25,33,2086,7,5,55,19,4,0,"Phil Foden",NA,"Phil Foden","Phil Foden","Manchester City","premier-league","Midfield","Attacking Midfield",2000-05-28,"England",70000000
"Philip Otele",1999,"ng NGA","MF,FW","Hamburger SV","de Bundesliga",26,9,471,1,1,7,3,3,1,"Philip Otele",NA,"Philip Otele","Philip Otele","Hamburger SV","bundesliga","Attack","Left Winger",1999-04-15,"Nigeria",4000000
"Philipp Köhn",1998,"ch SUI","GK","Monaco","fr Ligue 1",27,19,1621,0,0,0,0,1,0,"Philipp Kohn",NA,"Philipp Kohn","Philipp Köhn","AS Monaco","ligue-1","Goalkeeper","Goalkeeper",1998-04-02,"Switzerland",3500000
"Philipp Lienhart",1996,"at AUT","DF","Freiburg","de Bundesliga",29,20,1302,1,0,8,2,4,1,"Philipp Lienhart",NA,"Philipp Lienhart","Philipp Lienhart","SC Freiburg","bundesliga","Defender","Centre-Back",1996-07-11,"Austria",10000000
"Philipp Sander",1998,"de GER","DF,MF","Gladbach","de Bundesliga",27,30,2445,2,0,25,8,4,0,"Philipp Sander",NA,"Philipp Sander","Philipp Sander","Borussia Mönchengladbach","bundesliga","Midfield","Defensive Midfield",1998-02-21,"Germany",4000000
"Philipp Treu",2000,"de GER","DF,MF","Freiburg","de Bundesliga",24,28,2186,1,2,17,5,2,0,"Philipp Treu",NA,"Philipp Treu","Philipp Treu","SC Freiburg","bundesliga","Defender","Right-Back",2000-12-03,"Germany",15000000
"Phillip Tietz",1997,"de GER","FW","Mainz 05","de Bundesliga",28,29,1808,6,2,52,24,4,0,"Phillip Tietz",NA,"Phillip Tietz","Phillip Tietz","FC Augsburg","bundesliga","Attack","Centre-Forward",1997-07-09,"Germany",4000000
"Phillipp Mwene",1994,"at AUT","MF","Mainz 05","de Bundesliga",31,29,2069,1,2,10,2,4,0,"Phillipp Mwene",NA,"Phillipp Mwene","Phillipp Mwene","1.FSV Mainz 05","bundesliga","Defender","Left-Back",1994-01-29,"Austria",1500000
"Piero Hincapié",2002,"ec ECU","DF","Arsenal","eng Premier League",23,26,1882,1,2,5,3,2,0,"Piero Hincapie",NA,"Piero Hincapie","Piero Hincapié","Arsenal FC","premier-league","Defender","Centre-Back",2002-01-09,"Ecuador",50000000
"Pierre Kalulu",2000,"fr FRA","DF,MF","Juventus","it Serie A",25,37,3281,2,4,13,4,4,1,"Pierre Kalulu",NA,"Pierre Kalulu","Pierre Kalulu","Juventus FC","serie-a","Defender","Centre-Back",2000-06-05,"France",32000000
"Pierre Lees-Melou",1993,"fr FRA","MF","Paris FC","fr Ligue 1",32,24,1962,1,3,31,6,7,1,"Pierre Lees-Melou",NA,"Pierre Lees-Melou","Pierre Lees-Melou","Stade Brestois 29","ligue-1","Midfield","Defensive Midfield",1993-05-25,"France",4500000
"Pierre-Emerick Aubameyang",1989,"ga GAB","FW","Marseille","fr Ligue 1",36,30,2039,10,5,60,34,1,0,"Pierre-Emerick Aubameyang",NA,"Pierre-Emerick Aubameyang","Pierre-Emerick Aubameyang","Olympique Marseille","ligue-1","Attack","Centre-Forward",1989-06-18,"Gabon",2500000
"Pierre-Yves Hamel",1994,"fr FRA","FW","Paris FC","fr Ligue 1",31,2,78,0,0,0,0,0,0,"Pierre-Yves Hamel",NA,"Pierre-Yves Hamel","Pierre-Yves Hamel","Paris FC","ligue-1","Attack","Centre-Forward",1994-02-03,"France",300000
"Pierrick Capelle",1987,"fr FRA","MF","Angers","fr Ligue 1",38,16,651,0,1,10,1,2,0,"Pierrick Capelle",NA,"Pierrick Capelle","Pierrick Capelle","Angers SCO","ligue-1","Midfield","Central Midfield",1987-04-15,"France",150000
"Pietro Comuzzo",2005,"it ITA","DF","Fiorentina","it Serie A",20,27,1696,1,0,10,2,2,0,"Pietro Comuzzo",NA,"Pietro Comuzzo","Pietro Comuzzo","ACF Fiorentina","serie-a","Defender","Centre-Back",2005-02-20,"Italy",18000000
"Pietro Terracciano",1990,"it ITA","GK","Milan","it Serie A",35,2,125,0,0,0,0,0,0,"Pietro Terracciano",NA,"Pietro Terracciano","Pietro Terracciano","AC Milan","serie-a","Goalkeeper","Goalkeeper",1990-03-08,"Italy",900000
"Piotr Zieliński",1994,"pl POL","MF","Inter","it Serie A",31,34,2045,6,3,29,10,3,0,"Piotr Zielinski",NA,"Piotr Zielinski","Piotr Zielinski","Inter Milan","serie-a","Midfield","Central Midfield",1994-05-20,"Poland",10000000
"Pol Lirola",1997,"es ESP","MF","Hellas Verona","it Serie A",27,9,339,0,0,0,0,1,0,"Pol Lirola",NA,"Pol Lirola","Pol Lirola","Olympique Marseille","ligue-1","Defender","Right-Back",1997-08-13,"Spain",1500000
"Pol Lozano",1999,"es ESP","MF","Espanyol","es La Liga",25,33,2157,2,1,17,5,12,1,"Pol Lozano",NA,"Pol Lozano","Pol Lozano","RCD Espanyol Barcelona","laliga","Midfield","Central Midfield",1999-10-06,"Spain",6000000
"Pontus Almqvist",1999,"se SWE","MF","Parma","it Serie A",26,13,457,0,1,5,2,0,0,"Pontus Almqvist",NA,"Pontus Almqvist","Pontus Almqvist","Parma Calcio 1913","serie-a","Attack","Right Winger",1999-07-10,"Sweden",1800000
"Portu",1992,"es ESP","FW,MF","Girona","es La Liga",33,10,474,0,0,9,5,2,0,"Portu",NA,"Portu","Portu","Girona FC","laliga","Attack","Right Winger",1992-05-21,"Spain",1200000
"Prosper Peter",2007,"ng NGA","FW","Angers","fr Ligue 1",17,29,1273,5,0,23,14,0,0,"Prosper Peter",NA,"Prosper Peter","Prosper Peter","Angers SCO","ligue-1","Attack","Centre-Forward",2007-08-09,"France",15000000
"Przemysław Frankowski",1995,"pl POL","MF,DF","Rennes","fr Ligue 1",30,19,1210,1,2,9,3,5,0,"Przemyslaw Frankowski",NA,"Przemyslaw Frankowski","Przemyslaw Frankowski","Stade Rennais FC","ligue-1","Defender","Right-Back",1995-04-12,"Poland",6000000
"Péter Gulácsi",1990,"hu HUN","GK","RB Leipzig","de Bundesliga",35,23,2008,0,0,0,0,1,0,"Peter Gulacsi",NA,"Peter Gulacsi","Péter Gulácsi","RB Leipzig","bundesliga","Goalkeeper","Goalkeeper",1990-05-06,"Hungary",1000000
"Quentin Merlin",2002,"fr FRA","DF,MF","Rennes","fr Ligue 1",23,33,2533,1,5,26,7,2,0,"Quentin Merlin",NA,"Quentin Merlin","Quentin Merlin","Stade Rennais FC","ligue-1","Defender","Left-Back",2002-05-16,"France",15000000
"Quilindschy Hartman",2001,"nl NED","DF","Burnley","eng Premier League",23,21,1825,0,5,9,3,1,0,"Quilindschy Hartman",NA,"Quilindschy Hartman","Quilindschy Hartman","Burnley FC","premier-league","Defender","Left-Back",2001-11-14,"Netherlands",16000000
"Quinten Timber",2001,"nl NED","MF","Marseille","fr Ligue 1",24,15,1105,0,0,10,2,4,0,"Quinten Timber",NA,"Quinten Timber","Quinten Timber","Olympique Marseille","ligue-1","Midfield","Central Midfield",2001-06-17,"Netherlands",25000000
"Rabby Nzingoula",2005,"fr FRA","MF","Strasbourg","fr Ligue 1",19,4,51,0,0,1,0,0,1,"Rabby Nzingoula",NA,"Rabby Nzingoula","Rabby Nzingoula","RC Strasbourg Alsace","ligue-1","Midfield","Defensive Midfield",2005-11-25,"France",2000000
"Rachid Ghezzal",1992,"dz ALG","MF,FW","Lyon","fr Ligue 1",33,10,225,0,0,4,1,0,0,"Rachid Ghezzal",NA,"Rachid Ghezzal","Rachid Ghezzal","Olympique Lyon","ligue-1","Attack","Right Winger",1992-05-09,"Algeria",600000
"Radosław Majecki",1999,"pl POL","GK","Brest","fr Ligue 1",25,10,864,0,0,0,0,0,1,"Radoslaw Majecki",NA,"Radoslaw Majecki","Radoslaw Majecki","Stade Brestois 29","ligue-1","Goalkeeper","Goalkeeper",1999-11-16,"Poland",2500000
"Radu Drăgușin",2002,"ro ROU","DF","Tottenham Hotspur","eng Premier League",23,10,517,0,0,4,0,0,0,"Radu Dragusin",NA,"Radu Dragusin","Radu Drăgușin","Tottenham Hotspur","premier-league","Defender","Centre-Back",2002-02-03,"Romania",16000000
"Rafa Marín",2002,"es ESP","DF","Villarreal","es La Liga",23,23,1979,1,0,5,1,1,0,"Rafa Marin",NA,"Rafa Marin","Rafa Marín","Villarreal CF","laliga","Defender","Centre-Back",2002-05-19,"Spain",12000000
"Rafa Mir",1997,"es ESP","FW,MF","Elche","es La Liga",28,27,1803,8,0,69,36,4,0,"Rafa Mir",NA,"Rafa Mir","Rafa Mir","Elche CF","laliga","Attack","Centre-Forward",1997-06-18,"Spain",4000000
"Rafael Leão",1999,"pt POR","FW","Milan","it Serie A",26,29,1851,9,3,63,24,5,0,"Rafael Leao",NA,"Rafael Leao","Rafael Leão","AC Milan","serie-a","Attack","Left Winger",1999-06-10,"Portugal",50000000
"Raffaele Di Gennaro",1993,"it ITA","GK","Inter","it Serie A",31,1,10,0,0,0,0,0,0,"Raffaele Di Gennaro",NA,"Raffaele Di Gennaro","Raffaele Di Gennaro","Inter Milan","serie-a","Goalkeeper","Goalkeeper",1993-10-03,"Italy",300000
"Rafik Messali",2003,"fr FRA","MF","Toulouse","fr Ligue 1",22,12,502,0,0,0,0,2,0,"Rafik Messali",NA,"Rafik Messali","Rafik Messali","FC Toulouse","ligue-1","Defender","Right-Back",2003-04-28,"Algeria",1500000
"Rafiu Durosinmi",2003,"ng NGA","FW","Pisa","it Serie A",22,12,432,1,1,9,5,1,1,"Rafiu Durosinmi",NA,"Rafiu Durosinmi","Rafiu Durosinmi","Pisa Sporting Club","serie-a","Attack","Centre-Forward",2003-01-01,"Nigeria",7000000
"Ragnar Ache",1998,"de GER","FW","Köln","de Bundesliga",27,29,1718,7,4,52,22,3,0,"Ragnar Ache",NA,"Ragnar Ache","Ragnar Ache","1.FC Köln","bundesliga","Attack","Centre-Forward",1998-07-28,"Germany",9000000
"Ramon Hendriks",2001,"nl NED","DF","Stuttgart","de Bundesliga",24,31,2025,0,3,5,0,3,0,"Ramon Hendriks",NA,"Ramon Hendriks","Ramon Hendriks","VfB Stuttgart","bundesliga","Defender","Centre-Back",2001-07-18,"Netherlands",25000000
"Ramy Bensebaini",1995,"dz ALG","DF","Dortmund","de Bundesliga",30,21,1530,5,2,17,7,6,0,"Ramy Bensebaini",NA,"Ramy Bensebaini","Ramy Bensebaini","Borussia Dortmund","bundesliga","Defender","Centre-Back",1995-04-16,"Algeria",7000000
